# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  4.99999997e-01  4.99999997e-01  2.82780637e-09  2.84777841e-09  1.99720451e-11  1.99720451e-11  
1.45000000e-08  4.99999996e-01  4.99999996e-01  4.10031922e-09  4.12927868e-09  2.89594653e-11  2.89594653e-11  
1.90000000e-08  4.99999995e-01  4.99999995e-01  5.37283207e-09  5.41077895e-09  3.79468855e-11  3.79468855e-11  
2.35000000e-08  4.99999993e-01  4.99999993e-01  6.64534491e-09  6.69227921e-09  4.69343056e-11  4.69343056e-11  
2.80000000e-08  4.99999992e-01  4.99999992e-01  7.91785775e-09  7.97377947e-09  5.59217258e-11  5.59217258e-11  
3.25000000e-08  4.99999991e-01  4.99999991e-01  9.19037058e-09  9.25527973e-09  6.49091458e-11  6.49091458e-11  
3.70000000e-08  4.99999989e-01  4.99999989e-01  1.04628834e-08  1.05367800e-08  7.38965658e-11  7.38965658e-11  
4.15000000e-08  4.99999988e-01  4.99999988e-01  1.17353962e-08  1.18182802e-08  8.28839855e-11  8.28839855e-11  
4.60000000e-08  4.99999987e-01  4.99999987e-01  1.30079089e-08  1.30997803e-08  9.18714051e-11  9.18714051e-11  
5.05000000e-08  4.99999986e-01  4.99999986e-01  1.42804217e-08  1.43812805e-08  1.00858825e-10  1.00858825e-10  
5.50000000e-08  4.99999984e-01  4.99999984e-01  1.55529345e-08  1.56627807e-08  1.09846244e-10  1.09846244e-10  
5.95000000e-08  4.99999983e-01  4.99999983e-01  1.68254472e-08  1.69442809e-08  1.18833664e-10  1.18833664e-10  
6.40000000e-08  4.99999982e-01  4.99999982e-01  1.80979600e-08  1.82257810e-08  1.27821083e-10  1.27821083e-10  
6.85000000e-08  4.99999980e-01  4.99999980e-01  1.93704727e-08  1.95072812e-08  1.36808502e-10  1.36808502e-10  
7.30000000e-08  4.99999979e-01  4.99999979e-01  2.06429854e-08  2.07887813e-08  1.45795922e-10  1.45795922e-10  
7.75000000e-08  4.99999978e-01  4.99999978e-01  2.19154981e-08  2.20702815e-08  1.54783341e-10  1.54783341e-10  
8.20000000e-08  4.99999977e-01  4.99999977e-01  2.31880109e-08  2.33517816e-08  1.63770760e-10  1.63770760e-10  
8.65000000e-08  4.99999975e-01  4.99999975e-01  2.44605236e-08  2.46332818e-08  1.72758180e-10  1.72758180e-10  
9.10000000e-08  4.99999974e-01  4.99999974e-01  2.57330363e-08  2.59147819e-08  1.81745599e-10  1.81745599e-10  
9.55000000e-08  4.99999973e-01  4.99999973e-01  2.70055490e-08  2.71962820e-08  1.90733018e-10  1.90733018e-10  
1.00000000e-07  4.99999971e-01  4.99999971e-01  2.82780617e-08  2.84777821e-08  1.99720437e-10  1.99720437e-10  
1.45000000e-07  4.99999959e-01  4.99999959e-01  4.10031883e-08  4.12927830e-08  2.89594626e-10  2.89594626e-10  
1.90000000e-07  4.99999946e-01  4.99999946e-01  5.37283144e-08  5.41077832e-08  3.79468811e-10  3.79468811e-10  
2.35000000e-07  4.99999933e-01  4.99999933e-01  6.64534399e-08  6.69227829e-08  4.69342991e-10  4.69342991e-10  
2.80000000e-07  4.99999920e-01  4.99999920e-01  7.91785648e-08  7.97377819e-08  5.59217168e-10  5.59217168e-10  
3.25000000e-07  4.99999907e-01  4.99999907e-01  9.19036891e-08  9.25527804e-08  6.49091340e-10  6.49091340e-10  
3.70000000e-07  4.99999894e-01  4.99999894e-01  1.04628813e-07  1.05367778e-07  7.38965507e-10  7.38965507e-10  
4.15000000e-07  4.99999881e-01  4.99999881e-01  1.17353935e-07  1.18182775e-07  8.28839665e-10  8.28839665e-10  
4.60000000e-07  4.99999869e-01  4.99999869e-01  1.30079056e-07  1.30997770e-07  9.18713818e-10  9.18713818e-10  
