t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
1.00000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057050e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057060e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057071e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057082e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057092e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057103e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057113e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057124e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057135e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057145e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057156e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057167e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
