# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  2.94156548e-01  7.05843446e-01  7.33760936e-10  4.95661353e-09  3.02506590e-12  2.15729265e-12  
1.45000000e-08  2.94156547e-01  7.05843445e-01  1.06395335e-09  7.18708959e-09  4.38634554e-12  3.12807433e-12  
1.90000000e-08  2.94156546e-01  7.05843443e-01  1.39414577e-09  9.41756565e-09  5.74762518e-12  4.09885601e-12  
2.35000000e-08  2.94156546e-01  7.05843441e-01  1.72433819e-09  1.16480417e-08  7.10890481e-12  5.06963769e-12  
2.80000000e-08  2.94156545e-01  7.05843439e-01  2.05453060e-09  1.38785177e-08  8.47018444e-12  6.04041936e-12  
3.25000000e-08  2.94156544e-01  7.05843437e-01  2.38472301e-09  1.61089938e-08  9.83146407e-12  7.01120103e-12  
3.70000000e-08  2.94156543e-01  7.05843436e-01  2.71491542e-09  1.83394698e-08  1.11927437e-11  7.98198269e-12  
4.15000000e-08  2.94156543e-01  7.05843434e-01  3.04510782e-09  2.05699457e-08  1.25540232e-11  8.95276432e-12  
4.60000000e-08  2.94156542e-01  7.05843432e-01  3.37530022e-09  2.28004216e-08  1.39153028e-11  9.92354593e-12  
5.05000000e-08  2.94156541e-01  7.05843430e-01  3.70549261e-09  2.50308975e-08  1.52765823e-11  1.08943275e-11  
5.50000000e-08  2.94156540e-01  7.05843428e-01  4.03568500e-09  2.72613734e-08  1.66378619e-11  1.18651092e-11  
5.95000000e-08  2.94156540e-01  7.05843427e-01  4.36587739e-09  2.94918493e-08  1.79991414e-11  1.28358908e-11  
6.40000000e-08  2.94156539e-01  7.05843425e-01  4.69606978e-09  3.17223252e-08  1.93604209e-11  1.38066724e-11  
6.85000000e-08  2.94156538e-01  7.05843423e-01  5.02626217e-09  3.39528011e-08  2.07217004e-11  1.47774540e-11  
7.30000000e-08  2.94156537e-01  7.05843421e-01  5.35645456e-09  3.61832769e-08  2.20829800e-11  1.57482355e-11  
7.75000000e-08  2.94156536e-01  7.05843419e-01  5.68664694e-09  3.84137528e-08  2.34442595e-11  1.67190171e-11  
8.20000000e-08  2.94156536e-01  7.05843418e-01  6.01683933e-09  4.06442286e-08  2.48055390e-11  1.76897987e-11  
8.65000000e-08  2.94156535e-01  7.05843416e-01  6.34703171e-09  4.28747044e-08  2.61668185e-11  1.86605803e-11  
9.10000000e-08  2.94156534e-01  7.05843414e-01  6.67722409e-09  4.51051802e-08  2.75280980e-11  1.96313619e-11  
9.55000000e-08  2.94156533e-01  7.05843412e-01  7.00741647e-09  4.73356560e-08  2.88893774e-11  2.06021434e-11  
1.00000000e-07  2.94156533e-01  7.05843410e-01  7.33760885e-09  4.95661318e-08  3.02506569e-11  2.15729250e-11  
1.45000000e-07  2.94156525e-01  7.05843392e-01  1.06395325e-08  7.18708892e-08  4.38634513e-11  3.12807404e-11  
1.90000000e-07  2.94156518e-01  7.05843374e-01  1.39414561e-08  9.41756456e-08  5.74762451e-11  4.09885554e-11  
2.35000000e-07  2.94156510e-01  7.05843356e-01  1.72433795e-08  1.16480401e-07  7.10890383e-11  5.06963699e-11  
2.80000000e-07  2.94156503e-01  7.05843338e-01  2.05453027e-08  1.38785155e-07  8.47018309e-11  6.04041840e-11  
3.25000000e-07  2.94156495e-01  7.05843320e-01  2.38472258e-08  1.61089909e-07  9.83146228e-11  7.01119976e-11  
3.70000000e-07  2.94156487e-01  7.05843302e-01  2.71491487e-08  1.83394661e-07  1.11927414e-10  7.98198107e-11  
4.15000000e-07  2.94156480e-01  7.05843284e-01  3.04510712e-08  2.05699410e-07  1.25540204e-10  8.95276227e-11  
4.60000000e-07  2.94156472e-01  7.05843266e-01  3.37529936e-08  2.28004159e-07  1.39152993e-10  9.92354342e-11  
5.05000000e-07  2.94156465e-01  7.05843248e-01  3.70549158e-08  2.50308906e-07  1.52765781e-10  1.08943245e-10  
5.50000000e-07  2.94156457e-01  7.05843229e-01  4.03568379e-08  2.72613652e-07  1.66378569e-10  1.18651056e-10  
5.95000000e-07  2.94156450e-01  7.05843211e-01  4.36587598e-08  2.94918398e-07  1.79991356e-10  1.28358866e-10  
6.40000000e-07  2.94156442e-01  7.05843193e-01  4.69606815e-08  3.17223142e-07  1.93604142e-10  1.38066676e-10  
6.85000000e-07  2.94156435e-01  7.05843175e-01  5.02626031e-08  3.39527885e-07  2.07216928e-10  1.47774485e-10  
7.30000000e-07  2.94156427e-01  7.05843157e-01  5.35645245e-08  3.61832627e-07  2.20829713e-10  1.57482293e-10  
7.75000000e-07  2.94156420e-01  7.05843139e-01  5.68664457e-08  3.84137367e-07  2.34442497e-10  1.67190102e-10  
8.20000000e-07  2.94156412e-01  7.05843121e-01  6.01683668e-08  4.06442107e-07  2.48055280e-10  1.76897909e-10  
8.65000000e-07  2.94156405e-01  7.05843103e-01  6.34702877e-08  4.28746846e-07  2.61668063e-10  1.86605717e-10  
9.10000000e-07  2.94156397e-01  7.05843085e-01  6.67722084e-08  4.51051583e-07  2.75280846e-10  1.96313523e-10  
9.55000000e-07  2.94156389e-01  7.05843067e-01  7.00741290e-08  4.73356319e-07  2.88893627e-10  2.06021330e-10  
1.00000000e-06  2.94156382e-01  7.05843049e-01  7.33760494e-08  4.95661055e-07  3.02506408e-10  2.15729135e-10  
1.45000000e-06  2.94156307e-01  7.05842868e-01  1.06395245e-07  7.18708347e-07  4.38634181e-10  3.12807167e-10  
1.90000000e-06  2.94156231e-01  7.05842687e-01  1.39414424e-07  9.41755529e-07  5.74761886e-10  4.09885150e-10  
2.35000000e-06  2.94156156e-01  7.05842506e-01  1.72433585e-07  1.16480259e-06  7.10889519e-10  5.06963083e-10  
2.80000000e-06  2.94156080e-01  7.05842325e-01  2.05452729e-07  1.38784954e-06  8.47017079e-10  6.04040963e-10  
3.25000000e-06  2.94156005e-01  7.05842144e-01  2.38471856e-07  1.61089637e-06  9.83144571e-10  7.01118794e-10  
3.70000000e-06  2.94155930e-01  7.05841963e-01  2.71490967e-07  1.83394309e-06  1.11927199e-09  7.98196577e-10  
4.15000000e-06  2.94155854e-01  7.05841782e-01  3.04510060e-07  2.05698970e-06  1.25539935e-09  8.95274310e-10  
4.60000000e-06  2.94155779e-01  7.05841601e-01  3.37529137e-07  2.28003619e-06  1.39152663e-09  9.92351993e-10  
5.05000000e-06  2.94155703e-01  7.05841420e-01  3.70548198e-07  2.50308257e-06  1.52765385e-09  1.08942963e-09  
5.50000000e-06  2.94155628e-01  7.05841239e-01  4.03567241e-07  2.72612884e-06  1.66378100e-09  1.18650721e-09  
5.95000000e-06  2.94155553e-01  7.05841059e-01  4.36586268e-07  2.94917499e-06  1.79990807e-09  1.28358475e-09  
6.40000000e-06  2.94155477e-01  7.05840878e-01  4.69605278e-07  3.17222103e-06  1.93603508e-09  1.38066224e-09  
6.85000000e-06  2.94155402e-01  7.05840697e-01  5.02624270e-07  3.39526696e-06  2.07216202e-09  1.47773967e-09  
7.30000000e-06  2.94155326e-01  7.05840516e-01  5.35643246e-07  3.61831276e-06  2.20828888e-09  1.57481706e-09  
7.75000000e-06  2.94155251e-01  7.05840335e-01  5.68662204e-07  3.84135845e-06  2.34441568e-09  1.67189439e-09  
8.20000000e-06  2.94155176e-01  7.05840154e-01  6.01681145e-07  4.06440403e-06  2.48054241e-09  1.76897168e-09  
8.65000000e-06  2.94155100e-01  7.05839973e-01  6.34700070e-07  4.28744949e-06  2.61666906e-09  1.86604891e-09  
9.10000000e-06  2.94155025e-01  7.05839792e-01  6.67718978e-07  4.51049485e-06  2.75279565e-09  1.96312610e-09  
9.55000000e-06  2.94154949e-01  7.05839611e-01  7.00737869e-07  4.73354008e-06  2.88892217e-09  2.06020324e-09  
1.00000000e-05  2.94154874e-01  7.05839430e-01  7.33756743e-07  4.95658520e-06  3.02504862e-09  2.15728032e-09  
1.45000000e-05  2.94154120e-01  7.05837621e-01  1.06394456e-06  7.18703017e-06  4.38630927e-09  3.12804847e-09  
1.90000000e-05  2.94153366e-01  7.05835812e-01  1.39413068e-06  9.41746368e-06  5.74756295e-09  4.09881163e-09  
2.35000000e-05  2.94152612e-01  7.05834003e-01  1.72431510e-06  1.16478858e-05  7.10880965e-09  5.06956983e-09  
2.80000000e-05  2.94151858e-01  7.05832194e-01  2.05449784e-06  1.38782965e-05  8.47004939e-09  6.04032305e-09  
3.25000000e-05  2.94151105e-01  7.05830385e-01  2.38467889e-06  1.61086957e-05  9.83128215e-09  7.01107130e-09  
3.70000000e-05  2.94150351e-01  7.05828576e-01  2.71485824e-06  1.83390835e-05  1.11925079e-08  7.98181457e-09  
4.15000000e-05  2.94149597e-01  7.05826767e-01  3.04503590e-06  2.05694599e-05  1.25537267e-08  8.95255286e-09  
4.60000000e-05  2.94148843e-01  7.05824958e-01  3.37521187e-06  2.27998248e-05  1.39149385e-08  9.92328618e-09  
5.05000000e-05  2.94148089e-01  7.05823149e-01  3.70538614e-06  2.50301783e-05  1.52761434e-08  1.08940145e-08  
5.50000000e-05  2.94147335e-01  7.05821340e-01  4.03555873e-06  2.72605204e-05  1.66373413e-08  1.18647379e-08  
5.95000000e-05  2.94146581e-01  7.05819531e-01  4.36572962e-06  2.94908511e-05  1.79985322e-08  1.28354563e-08  
6.40000000e-05  2.94145827e-01  7.05817722e-01  4.69589882e-06  3.17211703e-05  1.93597161e-08  1.38061697e-08  
6.85000000e-05  2.94145074e-01  7.05815913e-01  5.02606632e-06  3.39514781e-05  2.07208930e-08  1.47768782e-08  
7.30000000e-05  2.94144320e-01  7.05814104e-01  5.35623214e-06  3.61817745e-05  2.20820630e-08  1.57475816e-08  
7.75000000e-05  2.94143566e-01  7.05812296e-01  5.68639626e-06  3.84120594e-05  2.34432260e-08  1.67182801e-08  
8.20000000e-05  2.94142812e-01  7.05810487e-01  6.01655869e-06  4.06423329e-05  2.48043820e-08  1.76889736e-08  
8.65000000e-05  2.94142058e-01  7.05808678e-01  6.34671943e-06  4.28725949e-05  2.61655310e-08  1.86596622e-08  
9.10000000e-05  2.94141304e-01  7.05806869e-01  6.67687847e-06  4.51028456e-05  2.75266731e-08  1.96303457e-08  
9.55000000e-05  2.94140550e-01  7.05805060e-01  7.00703583e-06  4.73330848e-05  2.88878082e-08  2.06010243e-08  
1.00000000e-04  2.94139797e-01  7.05803251e-01  7.33719149e-06  4.95633126e-05  3.02489363e-08  2.15716980e-08  
1.45000000e-04  2.94132258e-01  7.05785163e-01  1.06386550e-05  7.18649616e-05  4.38598337e-08  3.12781605e-08  
1.90000000e-04  2.94124721e-01  7.05767076e-01  1.39399494e-05  9.41654677e-05  5.74700335e-08  4.09841256e-08  
2.35000000e-04  2.94117183e-01  7.05748989e-01  1.72410746e-05  1.16464831e-04  7.10795359e-08  5.06895933e-08  
2.80000000e-04  2.94109646e-01  7.05730904e-01  2.05420306e-05  1.38763052e-04  8.46883409e-08  6.03945638e-08  
3.25000000e-04  2.94102110e-01  7.05712819e-01  2.38428174e-05  1.61060130e-04  9.82964485e-08  7.00990368e-08  
3.70000000e-04  2.94094573e-01  7.05694736e-01  2.71434351e-05  1.83356065e-04  1.11903859e-07  7.98030124e-08  
4.15000000e-04  2.94087037e-01  7.05676653e-01  3.04438836e-05  2.05650857e-04  1.25510571e-07  8.95064907e-08  
4.60000000e-04  2.94079502e-01  7.05658571e-01  3.37441630e-05  2.27944507e-04  1.39116587e-07  9.92094718e-08  
5.05000000e-04  2.94071967e-01  7.05640490e-01  3.70442733e-05  2.50237015e-04  1.52721905e-07  1.08911956e-07  
5.50000000e-04  2.94064432e-01  7.05622410e-01  4.03442145e-05  2.72528380e-04  1.66326526e-07  1.18613943e-07  
5.95000000e-04  2.94056898e-01  7.05604331e-01  4.36439866e-05  2.94818603e-04  1.79930450e-07  1.28315432e-07  
6.40000000e-04  2.94049364e-01  7.05586253e-01  4.69435895e-05  3.17107684e-04  1.93533677e-07  1.38016424e-07  
6.85000000e-04  2.94041830e-01  7.05568176e-01  5.02430235e-05  3.39395623e-04  2.07136207e-07  1.47716920e-07  
7.30000000e-04  2.94034297e-01  7.05550100e-01  5.35422884e-05  3.61682420e-04  2.20738040e-07  1.57416918e-07  
7.75000000e-04  2.94026764e-01  7.05532025e-01  5.68413842e-05  3.83968075e-04  2.34339176e-07  1.67116420e-07  
8.20000000e-04  2.94019232e-01  7.05513950e-01  6.01403110e-05  4.06252588e-04  2.47939615e-07  1.76815424e-07  
8.65000000e-04  2.94011700e-01  7.05495877e-01  6.34390687e-05  4.28535959e-04  2.61539357e-07  1.86513931e-07  
9.10000000e-04  2.94004168e-01  7.05477804e-01  6.67376575e-05  4.50818189e-04  2.75138403e-07  1.96211942e-07  
9.55000000e-04  2.93996637e-01  7.05459733e-01  7.00360773e-05  4.73099277e-04  2.88736752e-07  2.05909456e-07  
1.00000000e-03  2.93989106e-01  7.05441662e-01  7.33343282e-05  4.95379224e-04  3.02334405e-07  2.15606473e-07  
1.45000000e-03  2.93913819e-01  7.05261007e-01  1.06307545e-04  7.18115928e-04  4.38272622e-07  3.12549325e-07  
