# t(s)   slab-O_fcc    slab-OH_fcc    slab-H2O    H2O  
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.001001001001000992e-02 9.983793787932321306e-01 1.620620804844707507e-03 2.170808676986480460e-12 3.997514489560935557e-10
2.002002002002001985e-02 9.967614804683377905e-01 3.238517924647826840e-03 8.679585582474869351e-12 1.598333819068975401e-09
3.003003003003002977e-02 9.951463016768770098e-01 4.853694708849181152e-03 1.952092669195246263e-11 3.594751966609588198e-09
4.004004004004003969e-02 9.935338382947869196e-01 6.466155282743739352e-03 3.468817620736731558e-11 6.387780235462258670e-09
5.005005005005004615e-02 9.919240857453893723e-01 8.075904224377353571e-03 5.417394786117095278e-11 9.976058454551758916e-09
6.006006006006005954e-02 9.903170395518599012e-01 9.682946011912113224e-03 7.797101653816940149e-11 1.435825612878872007e-08
7.007007007007007293e-02 9.887126974161363213e-01 1.128728294409685716e-02 1.060756734192120715e-10 1.953369028419488166e-08
8.008008008008007939e-02 9.871110545022310223e-01 1.288891985836430887e-02 1.384801137386666036e-10 2.550092368384477387e-08
9.009009009009008584e-02 9.855121054901954114e-01 1.448786207625278426e-02 1.751757516745591390e-10 3.225837526035501889e-08
1.001001001001000923e-01 9.839158458973649157e-01 1.608411408176614252e-02 2.161553527029530370e-10 3.980471278602920320e-08
1.101101101101101126e-01 9.823222697107277801e-01 1.767768188971297408e-02 2.614092124685917838e-10 4.813814921710850240e-08
1.201201201201201191e-01 9.807313728413481480e-01 1.926856959025096891e-02 3.109307318860691202e-10 5.725746934103334662e-08
1.301301301301301394e-01 9.791431508431978070e-01 2.085678163073682173e-02 3.647127355581081252e-10 6.716135181820082359e-08
1.401401401401401459e-01 9.775575985043706284e-01 2.244232322463407883e-02 4.227468120359875351e-10 7.784824769182373445e-08
1.501501501501501523e-01 9.759747121566254568e-01 2.402519804127998398e-02 4.850270412045620972e-10 8.931706678078847860e-08
1.601601601601601588e-01 9.743944868793069647e-01 2.560541100280006727e-02 5.515454816648035009e-10 1.015663466873164764e-07
1.701701701701701652e-01 9.728169183321299096e-01 2.718296645077665497e-02 6.222951286916148522e-10 1.145947975008535525e-07
1.801801801801801717e-01 9.712420022801085961e-01 2.875786862146088863e-02 6.972691475088526828e-10 1.284011606067131143e-07
1.901901901901901781e-01 9.696697340761649686e-01 3.033012216331925151e-02 7.764600382422993048e-10 1.429840549133071500e-07
2.002002002002001846e-01 9.681001092513298323e-01 3.189973154665659560e-02 8.598605884765917107e-10 1.583421522642028093e-07
2.102102102102102188e-01 9.665331234401708382e-01 3.346670113820936904e-02 9.474637529178700050e-10 1.744741552781631161e-07
2.202202202202202252e-01 9.649687722730485584e-01 3.503103530892288237e-02 1.039262479480651004e-09 1.913787653232828601e-07
2.302302302302302317e-01 9.634070512500231276e-01 3.659273856008164738e-02 1.135249505759780231e-09 2.090546450375776878e-07
2.402402402402402382e-01 9.618479559337204110e-01 3.815181533038557171e-02 1.235417670338713319e-09 2.275004756559773817e-07
2.502502502502502724e-01 9.602914819722054851e-01 3.970826997307008721e-02 1.339759949721320699e-09 2.467149638112685898e-07
2.602602602602602788e-01 9.587376249766316194e-01 4.126210687829322959e-02 1.448269260826679151e-09 2.666968051637793028e-07
2.702702702702702853e-01 9.571863804952631671e-01 4.281333049912106753e-02 1.560938419054501108e-09 2.874446766791844815e-07
2.802802802802802917e-01 9.556377441123533600e-01 4.436194525261961258e-02 1.677760297900481082e-09 3.089572660214551498e-07
