# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  2.94156535e-01  7.05843415e-01  6.03211931e-09  4.33098340e-08  2.47854896e-10  1.76755007e-10  
1.45000000e-08  2.94156528e-01  7.05843400e-01  8.74657271e-09  6.27992571e-08  3.59389587e-10  2.56294752e-10  
1.90000000e-08  2.94156522e-01  7.05843384e-01  1.14610260e-08  8.22886795e-08  4.70924274e-10  3.35834493e-10  
2.35000000e-08  2.94156515e-01  7.05843368e-01  1.41754792e-08  1.01778101e-07  5.82458956e-10  4.15374232e-10  
2.80000000e-08  2.94156508e-01  7.05843352e-01  1.68899322e-08  1.21267522e-07  6.93993633e-10  4.94913967e-10  
3.25000000e-08  2.94156502e-01  7.05843336e-01  1.96043852e-08  1.40756942e-07  8.05528307e-10  5.74453699e-10  
3.70000000e-08  2.94156495e-01  7.05843321e-01  2.23188380e-08  1.60246361e-07  9.17062975e-10  6.53993427e-10  
4.15000000e-08  2.94156489e-01  7.05843305e-01  2.50332908e-08  1.79735780e-07  1.02859764e-09  7.33533153e-10  
4.60000000e-08  2.94156482e-01  7.05843289e-01  2.77477434e-08  1.99225197e-07  1.14013230e-09  8.13072875e-10  
5.05000000e-08  2.94156476e-01  7.05843273e-01  3.04621959e-08  2.18714614e-07  1.25166695e-09  8.92612594e-10  
5.50000000e-08  2.94156469e-01  7.05843257e-01  3.31766484e-08  2.38204030e-07  1.36320161e-09  9.72152311e-10  
5.95000000e-08  2.94156462e-01  7.05843242e-01  3.58911007e-08  2.57693446e-07  1.47473625e-09  1.05169202e-09  
6.40000000e-08  2.94156456e-01  7.05843226e-01  3.86055529e-08  2.77182860e-07  1.58627089e-09  1.13123173e-09  
6.85000000e-08  2.94156449e-01  7.05843210e-01  4.13200050e-08  2.96672274e-07  1.69780553e-09  1.21077144e-09  
7.30000000e-08  2.94156443e-01  7.05843194e-01  4.40344569e-08  3.16161687e-07  1.80934016e-09  1.29031114e-09  
7.75000000e-08  2.94156436e-01  7.05843178e-01  4.67489085e-08  3.35651097e-07  1.92087478e-09  1.36985083e-09  
8.20000000e-08  2.94156429e-01  7.05843162e-01  4.94633600e-08  3.55140507e-07  2.03240939e-09  1.44939052e-09  
8.65000000e-08  2.94156423e-01  7.05843147e-01  5.21778114e-08  3.74629916e-07  2.14394400e-09  1.52893021e-09  
9.10000000e-08  2.94156416e-01  7.05843131e-01  5.48922627e-08  3.94119324e-07  2.25547861e-09  1.60846989e-09  
9.55000000e-08  2.94156410e-01  7.05843115e-01  5.76067139e-08  4.13608731e-07  2.36701321e-09  1.68800957e-09  
1.00000000e-07  2.94156403e-01  7.05843099e-01  6.03211649e-08  4.33098137e-07  2.47854780e-09  1.76754925e-09  
1.45000000e-07  2.94156337e-01  7.05842941e-01  8.74656689e-08  6.27992154e-07  3.59389348e-09  2.56294582e-09  
1.90000000e-07  2.94156271e-01  7.05842783e-01  1.14610161e-07  8.22886086e-07  4.70923868e-09  3.35834204e-09  
2.35000000e-07  2.94156205e-01  7.05842625e-01  1.41754642e-07  1.01777994e-06  5.82458340e-09  4.15373793e-09  
2.80000000e-07  2.94156140e-01  7.05842467e-01  1.68899111e-07  1.21267370e-06  6.93992764e-09  4.94913347e-09  
3.25000000e-07  2.94156074e-01  7.05842309e-01  1.96043567e-07  1.40756738e-06  8.05527137e-09  5.74452865e-09  
3.70000000e-07  2.94156008e-01  7.05842151e-01  2.23188011e-07  1.60246096e-06  9.17061457e-09  6.53992344e-09  
4.15000000e-07  2.94155942e-01  7.05841993e-01  2.50332442e-07  1.79735445e-06  1.02859573e-08  7.33531789e-09  
