t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
1.00000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057219e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057306e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057392e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057479e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-08  3.73150000e+02  1.01325000e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057566e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057653e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057739e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057826e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03057913e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058000e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058086e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058173e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058260e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058347e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058433e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058520e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058607e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-08  3.73150000e+02  1.01325001e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058694e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-08  3.73150000e+02  1.01325002e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058780e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-08  3.73150000e+02  1.01325002e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058867e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-07  3.73150000e+02  1.01325002e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03058954e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-07  3.73150000e+02  1.01325002e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03059822e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-07  3.73150000e+02  1.01325003e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03060689e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-07  3.73150000e+02  1.01325004e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03061557e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-07  3.73150000e+02  1.01325005e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03062424e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-07  3.73150000e+02  1.01325005e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03063292e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-07  3.73150000e+02  1.01325006e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03064160e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-07  3.73150000e+02  1.01325007e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03065027e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-07  3.73150000e+02  1.01325008e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03065895e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-07  3.73150000e+02  1.01325008e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03066762e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-07  3.73150000e+02  1.01325009e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03067630e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-07  3.73150000e+02  1.01325010e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03068497e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-07  3.73150000e+02  1.01325011e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03069365e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-07  3.73150000e+02  1.01325011e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03070233e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-07  3.73150000e+02  1.01325012e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03071100e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-07  3.73150000e+02  1.01325013e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03071968e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-07  3.73150000e+02  1.01325014e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03072835e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-07  3.73150000e+02  1.01325014e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03073703e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-07  3.73150000e+02  1.01325015e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03074571e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-07  3.73150000e+02  1.01325016e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03075438e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-06  3.73150000e+02  1.01325017e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03076306e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-06  3.73150000e+02  1.01325024e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03084982e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-06  3.73150000e+02  1.01325032e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03093657e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-06  3.73150000e+02  1.01325039e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03102333e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-06  3.73150000e+02  1.01325046e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03111009e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-06  3.73150000e+02  1.01325054e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03119684e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-06  3.73150000e+02  1.01325061e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03128360e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-06  3.73150000e+02  1.01325069e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03137036e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-06  3.73150000e+02  1.01325076e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03145711e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-06  3.73150000e+02  1.01325084e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03154387e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-06  3.73150000e+02  1.01325091e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03163062e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-06  3.73150000e+02  1.01325099e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03171738e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-06  3.73150000e+02  1.01325106e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03180413e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-06  3.73150000e+02  1.01325114e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03189088e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-06  3.73150000e+02  1.01325121e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03197764e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-06  3.73150000e+02  1.01325128e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03206439e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-06  3.73150000e+02  1.01325136e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03215114e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-06  3.73150000e+02  1.01325143e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03223789e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-06  3.73150000e+02  1.01325151e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03232464e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-06  3.73150000e+02  1.01325158e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03241140e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-05  3.73150000e+02  1.01325166e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03249815e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-05  3.73150000e+02  1.01325240e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03336563e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-05  3.73150000e+02  1.01325315e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03423308e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-05  3.73150000e+02  1.01325390e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03510049e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-05  3.73150000e+02  1.01325464e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03596786e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-05  3.73150000e+02  1.01325539e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03683519e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-05  3.73150000e+02  1.01325613e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03770248e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-05  3.73150000e+02  1.01325688e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03856973e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-05  3.73150000e+02  1.01325763e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03943695e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-05  3.73150000e+02  1.01325837e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04030412e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-05  3.73150000e+02  1.01325912e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04117126e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-05  3.73150000e+02  1.01325986e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04203836e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-05  3.73150000e+02  1.01326061e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04290542e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-05  3.73150000e+02  1.01326135e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04377244e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-05  3.73150000e+02  1.01326210e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04463942e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-05  3.73150000e+02  1.01326285e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04550636e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-05  3.73150000e+02  1.01326359e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04637327e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-05  3.73150000e+02  1.01326434e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04724013e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-05  3.73150000e+02  1.01326508e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04810696e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-05  3.73150000e+02  1.01326583e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04897374e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-04  3.73150000e+02  1.01326657e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04984049e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-04  3.73150000e+02  1.01327402e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.05850584e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-04  3.73150000e+02  1.01328147e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.06716732e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-04  3.73150000e+02  1.01328892e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.07582492e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
