# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
5.05000000e-06  4.99987021e-01  4.99987021e-01  1.17393793e-05  1.25657318e-05  8.26352472e-07  8.26352472e-07  
5.50000000e-06  4.99985865e-01  4.99985865e-01  1.27854330e-05  1.36854188e-05  8.99985760e-07  8.99985760e-07  
5.95000000e-06  4.99984708e-01  4.99984708e-01  1.38314819e-05  1.48051006e-05  9.73618707e-07  9.73618707e-07  
6.40000000e-06  4.99983552e-01  4.99983552e-01  1.48775260e-05  1.59247773e-05  1.04725131e-06  1.04725131e-06  
6.85000000e-06  4.99982395e-01  4.99982395e-01  1.59235652e-05  1.70444488e-05  1.12088358e-06  1.12088358e-06  
7.30000000e-06  4.99981239e-01  4.99981239e-01  1.69695996e-05  1.81641151e-05  1.19451551e-06  1.19451551e-06  
7.75000000e-06  4.99980082e-01  4.99980082e-01  1.80156292e-05  1.92837762e-05  1.26814709e-06  1.26814709e-06  
8.20000000e-06  4.99978926e-01  4.99978926e-01  1.90616539e-05  2.04034322e-05  1.34177833e-06  1.34177833e-06  
8.65000000e-06  4.99977769e-01  4.99977769e-01  2.01076737e-05  2.15230830e-05  1.41540924e-06  1.41540924e-06  
9.10000000e-06  4.99976613e-01  4.99976613e-01  2.11536888e-05  2.26427286e-05  1.48903980e-06  1.48903980e-06  
9.55000000e-06  4.99975456e-01  4.99975456e-01  2.21996990e-05  2.37623690e-05  1.56267002e-06  1.56267002e-06  
1.00000000e-05  4.99974300e-01  4.99974300e-01  2.32457043e-05  2.48820042e-05  1.63629991e-06  1.63629991e-06  
1.45000000e-05  4.99962736e-01  4.99962736e-01  3.37054917e-05  3.60780717e-05  2.37257999e-06  2.37257999e-06  
1.90000000e-05  4.99951172e-01  4.99951172e-01  4.41647954e-05  4.72736214e-05  3.10882602e-06  3.10882602e-06  
2.35000000e-05  4.99939609e-01  4.99939609e-01  5.46236152e-05  5.84686532e-05  3.84503800e-06  3.84503800e-06  
2.80000000e-05  4.99928046e-01  4.99928046e-01  6.50819513e-05  6.96631673e-05  4.58121593e-06  4.58121593e-06  
3.25000000e-05  4.99916484e-01  4.99916484e-01  7.55398039e-05  8.08571637e-05  5.31735982e-06  5.31735982e-06  
3.70000000e-05  4.99904923e-01  4.99904923e-01  8.59971727e-05  9.20506423e-05  6.05346965e-06  6.05346965e-06  
4.15000000e-05  4.99893362e-01  4.99893362e-01  9.64540577e-05  1.03243603e-04  6.78954544e-06  6.78954544e-06  
4.60000000e-05  4.99881801e-01  4.99881801e-01  1.06910459e-04  1.14436046e-04  7.52558717e-06  7.52558717e-06  
5.05000000e-05  4.99870241e-01  4.99870241e-01  1.17366377e-04  1.25627972e-04  8.26159486e-06  8.26159486e-06  
5.50000000e-05  4.99858682e-01  4.99858682e-01  1.27821811e-04  1.36819380e-04  8.99756853e-06  8.99756853e-06  
5.95000000e-05  4.99847123e-01  4.99847123e-01  1.38276762e-04  1.48010270e-04  9.73350816e-06  9.73350816e-06  
6.40000000e-05  4.99835565e-01  4.99835565e-01  1.48731229e-04  1.59200643e-04  1.04694138e-05  1.04694138e-05  
6.85000000e-05  4.99824007e-01  4.99824007e-01  1.59185213e-04  1.70390498e-04  1.12052853e-05  1.12052853e-05  
7.30000000e-05  4.99812450e-01  4.99812450e-01  1.69638713e-04  1.81579836e-04  1.19411228e-05  1.19411228e-05  
7.75000000e-05  4.99800893e-01  4.99800893e-01  1.80091730e-04  1.92768656e-04  1.26769263e-05  1.26769263e-05  
8.20000000e-05  4.99789337e-01  4.99789337e-01  1.90544264e-04  2.03956959e-04  1.34126958e-05  1.34126958e-05  
8.65000000e-05  4.99777781e-01  4.99777781e-01  2.00996314e-04  2.15144745e-04  1.41484313e-05  1.41484313e-05  
9.10000000e-05  4.99766226e-01  4.99766226e-01  2.11447881e-04  2.26332014e-04  1.48841327e-05  1.48841327e-05  
9.55000000e-05  4.99754671e-01  4.99754671e-01  2.21898964e-04  2.37518764e-04  1.56198001e-05  1.56198001e-05  
1.00000000e-04  4.99743117e-01  4.99743117e-01  2.32349564e-04  2.48704998e-04  1.63554335e-05  1.63554335e-05  
1.45000000e-04  4.99627606e-01  4.99627606e-01  3.36828997e-04  3.60538894e-04  2.37098971e-05  2.37098971e-05  
1.90000000e-04  4.99512148e-01  4.99512148e-01  4.41260140e-04  4.72321102e-04  3.10609615e-05  3.10609615e-05  
2.35000000e-04  4.99396744e-01  4.99396744e-01  5.45643028e-04  5.84051657e-04  3.84086291e-05  3.84086291e-05  
2.80000000e-04  4.99281393e-01  4.99281393e-01  6.49977694e-04  6.95730596e-04  4.57529023e-05  4.57529023e-05  
3.25000000e-04  4.99166095e-01  4.99166095e-01  7.54264171e-04  8.07357955e-04  5.30937835e-05  5.30937835e-05  
3.70000000e-04  4.99050851e-01  4.99050851e-01  8.58502495e-04  9.18933771e-04  6.04312751e-05  6.04312751e-05  
4.15000000e-04  4.98935659e-01  4.98935659e-01  9.62692697e-04  1.03045808e-03  6.77653793e-05  6.77653793e-05  
4.60000000e-04  4.98820521e-01  4.98820521e-01  1.06683481e-03  1.14193091e-03  7.50960986e-05  7.50960986e-05  
5.05000000e-04  4.98705436e-01  4.98705436e-01  1.17092887e-03  1.25335231e-03  8.24234353e-05  8.24234353e-05  
5.50000000e-04  4.98590404e-01  4.98590404e-01  1.27497491e-03  1.36472231e-03  8.97473918e-05  8.97473918e-05  
5.95000000e-04  4.98475425e-01  4.98475425e-01  1.37897297e-03  1.47604094e-03  9.70679703e-05  9.70679703e-05  
6.40000000e-04  4.98360499e-01  4.98360499e-01  1.48292306e-03  1.58730824e-03  1.04385173e-04  1.04385173e-04  
6.85000000e-04  4.98245626e-01  4.98245626e-01  1.58682524e-03  1.69852424e-03  1.11699003e-04  1.11699003e-04  
7.30000000e-04  4.98130806e-01  4.98130806e-01  1.69067953e-03  1.80968899e-03  1.19009462e-04  1.19009462e-04  
7.75000000e-04  4.98016039e-01  4.98016039e-01  1.79448596e-03  1.92080252e-03  1.26316552e-04  1.26316552e-04  
8.20000000e-04  4.97901325e-01  4.97901325e-01  1.89824458e-03  2.03186485e-03  1.33620276e-04  1.33620276e-04  
8.65000000e-04  4.97786664e-01  4.97786664e-01  2.00195540e-03  2.14287603e-03  1.40920636e-04  1.40920636e-04  
9.10000000e-04  4.97672055e-01  4.97672055e-01  2.10561847e-03  2.25383610e-03  1.48217634e-04  1.48217634e-04  
9.55000000e-04  4.97557499e-01  4.97557499e-01  2.20923381e-03  2.36474508e-03  1.55511273e-04  1.55511273e-04  
1.00000000e-03  4.97442996e-01  4.97442996e-01  2.31280146e-03  2.47560302e-03  1.62801555e-04  1.62801555e-04  
