t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
5.50000000e-07  3.73150000e+02  1.01333523e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04347555e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-07  3.73150000e+02  1.01334220e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04453087e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-07  3.73150000e+02  1.01334917e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04558611e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-07  3.73150000e+02  1.01335614e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04664126e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-07  3.73150000e+02  1.01336311e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04769632e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-07  3.73150000e+02  1.01337008e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04875130e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-07  3.73150000e+02  1.01337705e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.04980619e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-07  3.73150000e+02  1.01338401e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.05086100e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-07  3.73150000e+02  1.01339098e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.05191572e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-07  3.73150000e+02  1.01339794e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.05297035e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
