# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  4.99994722e-01  4.99994722e-01  2.98275932e-06  4.51295016e-06  1.53019084e-06  1.53019084e-06  
1.45000000e-08  4.99992347e-01  4.99992347e-01  4.32498050e-06  6.54374668e-06  2.21876619e-06  2.21876619e-06  
1.90000000e-08  4.99989972e-01  4.99989972e-01  5.66718893e-06  8.57452393e-06  2.90733500e-06  2.90733500e-06  
2.35000000e-08  4.99987597e-01  4.99987597e-01  7.00938461e-06  1.06052819e-05  3.59589727e-06  3.59589727e-06  
2.80000000e-08  4.99985222e-01  4.99985222e-01  8.35156754e-06  1.26360205e-05  4.28445300e-06  4.28445300e-06  
3.25000000e-08  4.99982847e-01  4.99982847e-01  9.69373773e-06  1.46667399e-05  4.97300219e-06  4.97300219e-06  
3.70000000e-08  4.99980472e-01  4.99980472e-01  1.10358952e-05  1.66974400e-05  5.66154484e-06  5.66154484e-06  
4.15000000e-08  4.99978097e-01  4.99978097e-01  1.23780399e-05  1.87281208e-05  6.35008096e-06  6.35008096e-06  
4.60000000e-08  4.99975722e-01  4.99975722e-01  1.37201718e-05  2.07587823e-05  7.03861052e-06  7.03861052e-06  
5.05000000e-08  4.99973347e-01  4.99973347e-01  1.50622910e-05  2.27894245e-05  7.72713355e-06  7.72713355e-06  
5.50000000e-08  4.99970972e-01  4.99970972e-01  1.64043974e-05  2.48200474e-05  8.41565004e-06  8.41565004e-06  
5.95000000e-08  4.99968597e-01  4.99968597e-01  1.77464911e-05  2.68506511e-05  9.10415998e-06  9.10415998e-06  
6.40000000e-08  4.99966222e-01  4.99966222e-01  1.90885720e-05  2.88812354e-05  9.79266339e-06  9.79266339e-06  
6.85000000e-08  4.99963848e-01  4.99963848e-01  2.04306402e-05  3.09118005e-05  1.04811603e-05  1.04811603e-05  
7.30000000e-08  4.99961473e-01  4.99961473e-01  2.17726957e-05  3.29423462e-05  1.11696506e-05  1.11696506e-05  
7.75000000e-08  4.99959098e-01  4.99959098e-01  2.31147384e-05  3.49728727e-05  1.18581344e-05  1.18581344e-05  
8.20000000e-08  4.99956723e-01  4.99956723e-01  2.44567683e-05  3.70033799e-05  1.25466116e-05  1.25466116e-05  
8.65000000e-08  4.99954349e-01  4.99954349e-01  2.57987855e-05  3.90338678e-05  1.32350823e-05  1.32350823e-05  
