# t(s)   CH3CH2Br    TBAF    CH3CH2F    TBABr    C2H4    HF  
0.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.379310344827586264e-04 1.024734815403000876e-01 1.024734815403000876e-01 2.626855256286573792e-01 3.975265184596997181e-01 1.348409928310423944e-01 1.348409928310423944e-01
2.758620689655172527e-04 5.708660315789913786e-02 5.708660315789913786e-02 2.926771800239342247e-01 4.429133968421005707e-01 1.502362168181664570e-01 1.502362168181664570e-01
4.137931034482758520e-04 3.956343140819427312e-02 3.956343140819427312e-02 3.042564981586048933e-01 4.604365685918055395e-01 1.561800704332006184e-01 1.561800704332006184e-01
5.517241379310345055e-04 3.027139831166764106e-02 3.027139831166764106e-02 3.103966804126157553e-01 4.697286016883321369e-01 1.593319212757162984e-01 1.593319212757162984e-01
6.896551724137931589e-04 2.451395188823428731e-02 2.451395188823428731e-02 3.142012081177230631e-01 4.754860481117654802e-01 1.612848399940423061e-01 1.612848399940423061e-01
8.275862068965517040e-04 2.059659917587613326e-02 2.059659917587613326e-02 3.167898021149685439e-01 4.794034008241236933e-01 1.626135987091549551e-01 1.626135987091549551e-01
9.655172413793103574e-04 1.775874025866336359e-02 1.775874025866336359e-02 3.186650667669650994e-01 4.822412597413364144e-01 1.635761929743711207e-01 1.635761929743711207e-01
1.103448275862069011e-03 1.560819852970667110e-02 1.560819852970667110e-02 3.200861523369070705e-01 4.843918014702930375e-01 1.643056491333857727e-01 1.643056491333857727e-01
1.241379310344827664e-03 1.392225004755652529e-02 1.392225004755652529e-02 3.212002347795476220e-01 4.860777499524432388e-01 1.648775151728953392e-01 1.648775151728953392e-01
1.379310344827586318e-03 1.256501960105381975e-02 1.256501960105381975e-02 3.220971004163904472e-01 4.874349803989459495e-01 1.653378799825552248e-01 1.653378799825552248e-01
1.517241379310344971e-03 1.144890652788620004e-02 1.144890652788620004e-02 3.228346357519778498e-01 4.885510934721135623e-01 1.657164577201353794e-01 1.657164577201353794e-01
1.655172413793103408e-03 1.051490172300197611e-02 1.051490172300197611e-02 3.234518339930924080e-01 4.894850982769977654e-01 1.660332642839050521e-01 1.660332642839050521e-01
1.793103448275862061e-03 9.721797551845687974e-03 9.721797551845687974e-03 3.239759251370815107e-01 4.902782024481540102e-01 1.663022773110722496e-01 1.663022773110722496e-01
1.931034482758620715e-03 9.039946525073980915e-03 9.039946525073980915e-03 3.244265002389573049e-01 4.909600534749257172e-01 1.665335532359680792e-01 1.665335532359680792e-01
2.068965517241379368e-03 8.447471632269781469e-03 8.447471632269781469e-03 3.248180156224462767e-01 4.915525283677299462e-01 1.667345127452832809e-01 1.667345127452832809e-01
2.206896551724138022e-03 7.927883059641685840e-03 7.927883059641685840e-03 3.251613677526365986e-01 4.920721169403581285e-01 1.669107491877210581e-01 1.669107491877210581e-01
2.344827586206896675e-03 7.468510515542489160e-03 7.468510515542489160e-03 3.254649291550650858e-01 4.925314894844572966e-01 1.670665603293917112e-01 1.670665603293917112e-01
2.482758620689655329e-03 7.059459388097997883e-03 7.059459388097997883e-03 3.257352381866049362e-01 4.929405406119017896e-01 1.672053024252963260e-01 1.672053024252963260e-01
2.620689655172413982e-03 6.692890513547054658e-03 6.692890513547054658e-03 3.259774749644351877e-01 4.933071094864526773e-01 1.673296345220170456e-01 1.673296345220170456e-01
2.758620689655172636e-03 6.362512574595408435e-03 6.362512574595408435e-03 3.261957967891243038e-01 4.936374874254043088e-01 1.674416906362795332e-01 1.674416906362795332e-01
2.896551724137931289e-03 6.063216843146554923e-03 6.063216843146554923e-03 3.263935795065703305e-01 4.939367831568531875e-01 1.675432036502824129e-01 1.675432036502824129e-01
3.034482758620689943e-03 5.790815273165899127e-03 5.790815273165899127e-03 3.265735905761868452e-01 4.942091847268338389e-01 1.676355941506465497e-01 1.676355941506465497e-01
3.172413793103448596e-03 5.541838891004657527e-03 5.541838891004657527e-03 3.267381222945380803e-01 4.944581611089950424e-01 1.677200388144565180e-01 1.677200388144565180e-01
3.310344827586206816e-03 5.313390558228941671e-03 5.313390558228941671e-03 3.268890890896310464e-01 4.946866094417707305e-01 1.677975203521392955e-01 1.677975203521392955e-01
3.448275862068965469e-03 5.103032097187557882e-03 5.103032097187557882e-03 3.270281021083158990e-01 4.948969679028121238e-01 1.678688657944958362e-01 1.678688657944958362e-01
3.586206896551724123e-03 4.908696775031403357e-03 4.908696775031403357e-03 3.271565270468261843e-01 4.950913032249682488e-01 1.679347761781416759e-01 1.679347761781416759e-01
3.724137931034482776e-03 4.728620866243737550e-03 4.728620866243737550e-03 3.272755293742429239e-01 4.952713791337559068e-01 1.679958497595126499e-01 1.679958497595126499e-01
3.862068965517241430e-03 4.561290481923080398e-03 4.561290481923080398e-03 3.273861094676908112e-01 4.954387095180765588e-01 1.680526000503854422e-01 1.680526000503854422e-01
4.000000000000000083e-03 4.405398735229587755e-03 4.405398735229587755e-03 3.274891309174008391e-01 4.955946012647700627e-01 1.681054703473689460e-01 1.681054703473689460e-01
