# t(s)   CH3CH2Br    TBAF    CH3CH2F    TBABr    C2H4    HF  
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.448275862068965903e-03 4.823685845505457648e-01 4.823685845505457648e-01 4.835329453001419031e-01 5.176314154494535691e-01 3.409847014931173537e-02 3.409847014931173537e-02
6.896551724137931806e-03 3.178430320194003400e-01 3.178430320194003400e-01 6.372205372779511379e-01 6.821569679805987718e-01 4.493643070264768252e-02 4.493643070264768252e-02
1.034482758620689814e-02 2.370055397562643995e-01 2.370055397562643995e-01 7.127329403771542893e-01 7.629944602437348511e-01 5.026151986658036058e-02 5.026151986658036058e-02
1.379310344827586361e-02 1.889496861543771833e-01 1.889496861543771833e-01 7.576231644326398840e-01 8.110503138456223171e-01 5.342714941298180170e-02 5.342714941298180170e-02
1.724137931034483082e-02 1.570964160428027223e-01 1.570964160428027223e-01 7.873781351213676727e-01 8.429035839571968891e-01 5.552544883582841845e-02 5.552544883582841845e-02
2.068965517241379629e-02 1.344335218671094678e-01 1.344335218671094678e-01 8.085481374439948965e-01 8.655664781328901158e-01 5.701834068889454626e-02 5.701834068889454626e-02
2.413793103448276176e-02 1.174850114789055960e-01 1.174850114789055960e-01 8.243801858223677170e-01 8.825149885210940015e-01 5.813480269872551426e-02 5.813480269872551426e-02
2.758620689655172722e-02 1.043315654856964425e-01 1.043315654856964425e-01 8.366671662681745003e-01 8.956684345143032244e-01 5.900126824612787063e-02 5.900126824612787063e-02
3.103448275862069269e-02 9.382685236127553952e-02 9.382685236127553952e-02 8.464798967756642645e-01 9.061731476387242523e-01 5.969325086305921069e-02 5.969325086305921069e-02
3.448275862068966163e-02 8.524399019958003865e-02 8.524399019958003865e-02 8.544973765705151658e-01 9.147560098004197116e-01 6.025863322990367144e-02 6.025863322990367144e-02
3.793103448275862710e-02 7.809977484390698277e-02 7.809977484390698277e-02 8.611709791742823139e-01 9.219002251560926009e-01 6.072924598180943351e-02 6.072924598180943351e-02
4.137931034482759257e-02 7.206045788906401128e-02 7.206045788906401128e-02 8.668124676165297471e-01 9.279395421109355446e-01 6.112707449440505508e-02 6.112707449440505508e-02
4.482758620689655804e-02 6.688812041455556578e-02 6.688812041455556578e-02 8.716440881213938230e-01 9.331118795854440595e-01 6.146779146404948713e-02 6.146779146404948713e-02
4.827586206896552351e-02 6.240857593892070593e-02 6.240857593892070593e-02 8.758285527901966683e-01 9.375914240610787598e-01 6.176287127088152251e-02 6.176287127088152251e-02
5.172413793103448898e-02 5.849136993600561468e-02 5.849136993600561468e-02 8.794877225718110703e-01 9.415086300639938788e-01 6.202090749218210769e-02 6.202090749218210769e-02
5.517241379310345445e-02 5.503686414681463468e-02 5.503686414681463468e-02 8.827146721417457043e-01 9.449631358531850323e-01 6.224846371143849533e-02 6.224846371143849533e-02
5.862068965517241992e-02 5.196765178807719737e-02 5.196765178807719737e-02 8.855817091783089179e-01 9.480323482119223932e-01 6.245063903361274676e-02 6.245063903361274676e-02
6.206896551724138539e-02 4.922267800370318247e-02 4.922267800370318247e-02 8.881458666012562730e-01 9.507773219962962763e-01 6.263145539503937875e-02 6.263145539503937875e-02
6.551724137931035086e-02 4.675314095870600900e-02 4.675314095870600900e-02 8.904527314661503379e-01 9.532468590412934706e-01 6.279412757514256371e-02 6.279412757514256371e-02
6.896551724137932327e-02 4.451956379120970697e-02 4.451956379120970697e-02 8.925391801298365735e-01 9.554804362087897518e-01 6.294125607895266483e-02 6.294125607895266483e-02
7.241379310344828180e-02 4.248966847617792475e-02 4.248966847617792475e-02 8.944353643293992961e-01 9.575103315238215895e-01 6.307496719442171051e-02 6.307496719442171051e-02
7.586206896551725420e-02 4.063681097760941247e-02 4.063681097760941247e-02 8.961661729470167259e-01 9.593631890223901504e-01 6.319701607537285548e-02 6.319701607537285548e-02
7.931034482758621273e-02 3.893879869791466025e-02 3.893879869791466025e-02 8.977523366611144251e-01 9.610612013020848332e-01 6.330886464096974198e-02 6.330886464096974198e-02
8.275862068965518514e-02 3.737699924723150019e-02 3.737699924723150019e-02 8.992112604680190246e-01 9.626230007527680765e-01 6.341174028474839963e-02 6.341174028474839963e-02
8.620689655172414367e-02 3.593565442129551674e-02 3.593565442129551674e-02 9.005576645129831359e-01 9.640643455787040184e-01 6.350668106572031346e-02 6.350668106572031346e-02
8.965517241379311608e-02 3.460134640951652990e-02 3.460134640951652990e-02 9.018040827190352271e-01 9.653986535904830468e-01 6.359457087144727849e-02 6.359457087144727849e-02
9.310344827586207461e-02 3.336257898081503720e-02 3.336257898081503720e-02 9.029612540121251252e-01 9.666374210191845950e-01 6.367616700705888699e-02 6.367616700705888699e-02
9.655172413793104702e-02 3.220944441842243933e-02 3.220944441842243933e-02 9.040384334459432569e-01 9.677905555815772276e-01 6.375212213563331842e-02 6.375212213563331842e-02
1.000000000000000056e-01 3.113336018893021750e-02 3.113336018893021750e-02 9.050436381861725055e-01 9.688666398110694633e-01 6.382300162489631945e-02 6.382300162489631945e-02
