# t(s)   CH3CH2Br    TBAF    CH3CH2F    TBABr    C2H4    HF  
0.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.724137931034482918e+01 3.602095652570984630e-01 3.602095652570984630e-01 1.397675024388435605e-01 1.397904347429013705e-01 2.293230405780903803e-05 2.293230405780903803e-05
3.448275862068965836e+01 2.815058824873892251e-01 2.815058824873892251e-01 2.184582740477238327e-01 2.184941175126106083e-01 3.584346488680825054e-05 3.584346488680825054e-05
5.172413793103449109e+01 2.310276827803239286e-01 2.310276827803239286e-01 2.689281929204874744e-01 2.689723172196758494e-01 4.412429918843457233e-05 4.412429918843457233e-05
6.896551724137931672e+01 1.958999114927538754e-01 1.958999114927538754e-01 3.040502015767456157e-01 3.041000885072459581e-01 4.988693050040780754e-05 4.988693050040780754e-05
8.620689655172414234e+01 1.700446146592133057e-01 1.700446146592133057e-01 3.299012569073899726e-01 3.299553853407865001e-01 5.412843339655429542e-05 5.412843339655429542e-05
1.034482758620689822e+02 1.502184585442551679e-01 1.502184585442551679e-01 3.497241605863192215e-01 3.497815414557446934e-01 5.738086942552119053e-05 5.738086942552119053e-05
1.206896551724138078e+02 1.345327624682190470e-01 1.345327624682190470e-01 3.654072834594087049e-01 3.654672375317808419e-01 5.995407237207810673e-05 5.995407237207810673e-05
1.379310344827586334e+02 1.218131314755666328e-01 1.218131314755666328e-01 3.781248278253664385e-01 3.781868685244332839e-01 6.204069906674198926e-05 6.204069906674198926e-05
1.551724137931034591e+02 1.112909362379405215e-01 1.112909362379405215e-01 3.886452969206508068e-01 3.887090637620594369e-01 6.376684140851916532e-05 6.376684140851916532e-05
1.724137931034482847e+02 1.024420150788387107e-01 1.024420150788387107e-01 3.974927664342289280e-01 3.975579849211612893e-01 6.521848693221511456e-05 6.521848693221511456e-05
1.896551724137931103e+02 9.489663265148751137e-02 9.489663265148751137e-02 4.050369110586290455e-01 4.051033673485124331e-01 6.645628988326568204e-05 6.645628988326568204e-05
2.068965517241379644e+02 8.838650877233049374e-02 8.838650877233049374e-02 4.115459669666517994e-01 4.116134912276694369e-01 6.752426101754870655e-05 6.752426101754870655e-05
2.241379310344827900e+02 8.271226079373258933e-02 8.271226079373258933e-02 4.172192840976609030e-01 4.172877392062673274e-01 6.845510860635041549e-05 6.845510860635041549e-05
2.413793103448276156e+02 7.772261514520714676e-02 7.772261514520714676e-02 4.222081112060567798e-01 4.222773848547927700e-01 6.927364873590875511e-05 6.927364873590875511e-05
2.586206896551724412e+02 7.330072436918208534e-02 7.330072436918208534e-02 4.266292765808511467e-01 4.266992756308178869e-01 6.999904996668137821e-05 6.999904996668137821e-05
2.758620689655172669e+02 6.935490010850617337e-02 6.935490010850617337e-02 4.305744535379280591e-01 4.306450998914937434e-01 7.064635356573962079e-05 7.064635356573962079e-05
2.931034482758620925e+02 6.581218615510184278e-02 6.581218615510184278e-02 4.341165863170645678e-01 4.341878138448981295e-01 7.122752783356835822e-05 7.122752783356835822e-05
3.103448275862069181e+02 6.261381419378005131e-02 6.261381419378005131e-02 4.373144335926409942e-01 4.373861858062199071e-01 7.175221357899194891e-05 7.175221357899194891e-05
3.275862068965517437e+02 5.971190707948141607e-02 5.971190707948141607e-02 4.402158646555795474e-01 4.402880929205185145e-01 7.222826493906923234e-05 7.222826493906923234e-05
3.448275862068965694e+02 5.706707056791959082e-02 5.706707056791959082e-02 4.428602672876302271e-01 4.429329294320804022e-01 7.266214445022190166e-05 7.266214445022190166e-05
3.620689655172413950e+02 5.464659355806842506e-02 5.464659355806842506e-02 4.452803472236372406e-01 4.453534064419315541e-01 7.305921829437429598e-05 7.305921829437429598e-05
3.793103448275862206e+02 5.242308867170928505e-02 5.242308867170928505e-02 4.475034873489819875e-01 4.475769113282906941e-01 7.342397930879649586e-05 7.342397930879649586e-05
3.965517241379310462e+02 5.037345149579602888e-02 5.037345149579602888e-02 4.495527882864839286e-01 4.496265485042039156e-01 7.376021772003477550e-05 7.376021772003477550e-05
4.137931034482759287e+02 4.847805780315581070e-02 4.847805780315581070e-02 4.514478710440061326e-01 4.515219421968441615e-01 7.407115283803542981e-05 7.407115283803542981e-05
4.310344827586207543e+02 4.672012736234433528e-02 4.672012736234433528e-02 4.532055131002339365e-01 4.532798726376556231e-01 7.435953742169545413e-05 7.435953742169545413e-05
4.482758620689655800e+02 4.508522929500940329e-02 4.508522929500940329e-02 4.548401429661666495e-01 4.549147707049905898e-01 7.462773882386558751e-05 7.462773882386558751e-05
4.655172413793104056e+02 4.356088430098301045e-02 4.356088430098301045e-02 4.563642378947715406e-01 4.564391156990169618e-01 7.487780424542185456e-05 7.487780424542185456e-05
4.827586206896552312e+02 4.213624549058334057e-02 4.213624549058334057e-02 4.577886429963225479e-01 4.578637545094166317e-01 7.511151309400273016e-05 7.511151309400273016e-05
5.000000000000000000e+02 4.080184007661515067e-02 4.080184007661515067e-02 4.591228295040259422e-01 4.591981599233848632e-01 7.533041935885062242e-05 7.533041935885062242e-05
