# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  5.00000000e-01  5.00000000e-01  3.56479824e-12  3.56537734e-12  5.79093247e-16  5.79093247e-16  
1.45000000e-08  5.00000000e-01  5.00000000e-01  5.16895745e-12  5.16979714e-12  8.39685209e-16  8.39685209e-16  
1.90000000e-08  5.00000000e-01  5.00000000e-01  6.77311666e-12  6.77421694e-12  1.10027717e-15  1.10027717e-15  
2.35000000e-08  5.00000000e-01  5.00000000e-01  8.37727587e-12  8.37863674e-12  1.36086913e-15  1.36086913e-15  
2.80000000e-08  5.00000000e-01  5.00000000e-01  9.98143508e-12  9.98305654e-12  1.62146109e-15  1.62146109e-15  
3.25000000e-08  5.00000000e-01  5.00000000e-01  1.15855943e-11  1.15874763e-11  1.88205305e-15  1.88205305e-15  
3.70000000e-08  5.00000000e-01  5.00000000e-01  1.31897535e-11  1.31918961e-11  2.14264501e-15  2.14264501e-15  
4.15000000e-08  5.00000000e-01  5.00000000e-01  1.47939127e-11  1.47963159e-11  2.40323698e-15  2.40323698e-15  
4.60000000e-08  5.00000000e-01  5.00000000e-01  1.63980719e-11  1.64007357e-11  2.66382894e-15  2.66382894e-15  
5.05000000e-08  5.00000000e-01  5.00000000e-01  1.80022311e-11  1.80051555e-11  2.92442090e-15  2.92442090e-15  
5.50000000e-08  5.00000000e-01  5.00000000e-01  1.96063903e-11  1.96095753e-11  3.18501286e-15  3.18501286e-15  
5.95000000e-08  5.00000000e-01  5.00000000e-01  2.12105495e-11  2.12139951e-11  3.44560482e-15  3.44560482e-15  
6.40000000e-08  5.00000000e-01  5.00000000e-01  2.28147088e-11  2.28184150e-11  3.70619678e-15  3.70619678e-15  
6.85000000e-08  5.00000000e-01  5.00000000e-01  2.44188680e-11  2.44228348e-11  3.96678874e-15  3.96678874e-15  
7.30000000e-08  5.00000000e-01  5.00000000e-01  2.60230272e-11  2.60272546e-11  4.22738070e-15  4.22738070e-15  
7.75000000e-08  5.00000000e-01  5.00000000e-01  2.76271864e-11  2.76316744e-11  4.48797267e-15  4.48797267e-15  
8.20000000e-08  5.00000000e-01  5.00000000e-01  2.92313456e-11  2.92360942e-11  4.74856463e-15  4.74856463e-15  
8.65000000e-08  5.00000000e-01  5.00000000e-01  3.08355048e-11  3.08405140e-11  5.00915659e-15  5.00915659e-15  
