# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  2.94156549e-01  7.05843451e-01  9.24996041e-13  6.20560837e-12  8.77123613e-17  6.25511108e-17  
1.45000000e-08  2.94156549e-01  7.05843451e-01  1.34124426e-12  8.99813213e-12  1.27182924e-16  9.06991107e-17  
1.90000000e-08  2.94156549e-01  7.05843451e-01  1.75749248e-12  1.17906559e-11  1.66653486e-16  1.18847111e-16  
2.35000000e-08  2.94156549e-01  7.05843451e-01  2.17374070e-12  1.45831797e-11  2.06124049e-16  1.46995110e-16  
2.80000000e-08  2.94156549e-01  7.05843451e-01  2.58998892e-12  1.73757034e-11  2.45594612e-16  1.75143110e-16  
3.25000000e-08  2.94156549e-01  7.05843451e-01  3.00623713e-12  2.01682272e-11  2.85065174e-16  2.03291110e-16  
3.70000000e-08  2.94156549e-01  7.05843451e-01  3.42248535e-12  2.29607510e-11  3.24535737e-16  2.31439110e-16  
4.15000000e-08  2.94156549e-01  7.05843450e-01  3.83873357e-12  2.57532747e-11  3.64006299e-16  2.59587110e-16  
4.60000000e-08  2.94156549e-01  7.05843450e-01  4.25498179e-12  2.85457985e-11  4.03476862e-16  2.87735110e-16  
5.05000000e-08  2.94156549e-01  7.05843450e-01  4.67123001e-12  3.13383223e-11  4.42947424e-16  3.15883110e-16  
5.50000000e-08  2.94156549e-01  7.05843450e-01  5.08747823e-12  3.41308460e-11  4.82417987e-16  3.44031109e-16  
5.95000000e-08  2.94156549e-01  7.05843450e-01  5.50372645e-12  3.69233698e-11  5.21888550e-16  3.72179109e-16  
6.40000000e-08  2.94156549e-01  7.05843450e-01  5.91997466e-12  3.97158935e-11  5.61359112e-16  4.00327109e-16  
6.85000000e-08  2.94156549e-01  7.05843450e-01  6.33622288e-12  4.25084173e-11  6.00829675e-16  4.28475109e-16  
7.30000000e-08  2.94156549e-01  7.05843450e-01  6.75247110e-12  4.53009411e-11  6.40300237e-16  4.56623109e-16  
7.75000000e-08  2.94156549e-01  7.05843450e-01  7.16871932e-12  4.80934648e-11  6.79770800e-16  4.84771109e-16  
8.20000000e-08  2.94156549e-01  7.05843450e-01  7.58496754e-12  5.08859886e-11  7.19241362e-16  5.12919108e-16  
